2019/2020;8;No;9;;;No;Servizio integrativo;IL BIANCONIGLIO;ZRWTEF796N01TSJT;PORCIA;Marco Vietti;Attivo;10;33080;Attivo;6.5 Pordenone;10|PORCIA|Marco Vietti;Marco Vietti 10 PORCIA
2019/2020;49;No;48;;4;Si;Nido d'infanzia;Il Grillo Parlante ;GBHUB25N7J1CK2JD;FOGLIANO REDIPUGLIA;via G.Paolini;Attivo;12;34070;Attivo;2.2 Basso Isontino;12|FOGLIANO REDIPUGLIA|via G.Paolini;via G.Paolini 12 FOGLIANO REDIPUGLIA
2019/2020;45;No;41;5;;No;Nido d'infanzia;Nidolandia;8MR2JXV0R3T16062;AZZANO DECIMO;Via Montessori;Attivo;18;33082;Attivo;6.3 Azzano Decimo;18|AZZANO DECIMO|Via Montessori;Via Montessori 18 AZZANO DECIMO
2019/2020;12;No;12;;2;Si;Nido d'infanzia;Nido Maja;HUYSPQRT36UBUVV8;MONRUPINO;Repen, 130;Attivo;130;34016;Attivo;1.1 Duino Aurisina;130|MONRUPINO|Repen, 130;Repen, 130 130 MONRUPINO
2019/2020;47;No;28;;;No;Nido d'infanzia;Asilo Nido Zerovirgolatre;GQQ9LW1UUYMAU3LN;SAN DANIELE DEL FRIULI;Via Sottomonte 8;Attivo;8;33038;Attivo;4.1 San Daniele del Friuli;8|SAN DANIELE DEL FRIULI|Via Sottomonte 8;Via Sottomonte 8 8 SAN DANIELE DEL FRIULI
2019/2020;46;Si;40;5;6;Si;Nido d'infanzia;UN'OASI DI SORRISI;UJJEL78D0KXBXQY8;TRIESTE;VIA DEL COLLEGIO;Attivo;6;34121;Attivo;1.2 Trieste;6|TRIESTE|VIA DEL COLLEGIO;VIA DEL COLLEGIO 6 TRIESTE
2019/2020;48;No;36;;8;Si;Nido d'infanzia;Asilo nido Rondinelle (Flaibano);6UJH9TKOJ2KP034W;FLAIBANO;Via Divisione Julia 3;Attivo;;33030;Attivo;4.1 San Daniele del Friuli;|FLAIBANO|Via Divisione Julia 3;Via Divisione Julia 3  FLAIBANO
2019/2020;12;No;10;;;No;Nido d'infanzia;Il Nido di Pollicino;I9LE3CBCJQWAS6E4;AZZANO DECIMO;Via Papa Luciani;Attivo;3;33082;Attivo;6.3 Azzano Decimo;3|AZZANO DECIMO|Via Papa Luciani;Via Papa Luciani 3 AZZANO DECIMO
2019/2020;31;No;24;;4;Si;Nido d'infanzia;Scuola Materna Cardinal A. Panciera ;ICSFHK0FZJ33OPHZ;ZOPPOLA;Piazza Vittorio Emanuele ;Attivo;34;33080;Attivo;6.5 Pordenone;34|ZOPPOLA|Piazza Vittorio Emanuele ;Piazza Vittorio Emanuele  34 ZOPPOLA
2019/2020;47;No;32;;7;Si;Nido d'infanzia;Asilo nido Rondinelle (Majano);C6945LO58V93FV75;MAJANO;Via G. Schiratti;Attivo;5;33030;Attivo;4.1 San Daniele del Friuli;5|MAJANO|Via G. Schiratti;Via G. Schiratti 5 MAJANO
2019/2020;29;No;23;;4;Si;Nido d'infanzia;Asilo Nido Rondinelle (Tarcento);IKYGZQVV1IT8PFG0;TARCENTO;Via Loris Pasquali ;Attivo;1;33017;Attivo;4.2 Tarcento;1|TARCENTO|Via Loris Pasquali ;Via Loris Pasquali  1 TARCENTO
2019/2020;38;No;24;;5;Si;Nido d'infanzia;Asilo Nido Pollicino;VNSGSXFINLTKVQ9U;BASILIANO;Via Aquileia 24;Attivo;;33031;Attivo;4.4 Codroipo;|BASILIANO|Via Aquileia 24;Via Aquileia 24  BASILIANO
2019/2020;10;No;0;;;No;Servizio sperimentale;"Servizio  sperim. ""Baby Dance""";X0VY458MS6OG4Y3E;RONCHI DEI LEGIONARI;Via Redipuglia 80/A-B;Attivo;;34077;Attivo;2.2 Basso Isontino;|RONCHI DEI LEGIONARI|Via Redipuglia 80/A-B;Via Redipuglia 80/A-B  RONCHI DEI LEGIONARI
2019/2020;10;No;0;;;No;Servizio integrativo;Centro gioco pomeridiano ;IV628ZRWS3MCP8QS;RONCHI DEI LEGIONARI;via Redipuglia;Attivo;80 A/B;34077;Attivo;2.2 Basso Isontino;80 A/B|RONCHI DEI LEGIONARI|via Redipuglia;via Redipuglia 80 A/B RONCHI DEI LEGIONARI
2019/2020;31;No;20;;2;Si;Nido d'infanzia;Le Birbe;GT96U491J4V2PV72;RONCHI DEI LEGIONARI;via Redipuglia ;Attivo;80 A/B;34077;Attivo;2.2 Basso Isontino;80 A/B|RONCHI DEI LEGIONARI|via Redipuglia ;via Redipuglia  80 A/B RONCHI DEI LEGIONARI
2019/2020;60;No;40;;;No;Nido d'infanzia;"Nido d'infanzia comunale ""Arcobaleno""";FW2WLK4XWXKM5Q0I;TOLMEZZO;Via per Illegio (Fr. Betania);Attivo;46;33028;Attivo;3.2 Carnia;46|TOLMEZZO|Via per Illegio (Fr. Betania);Via per Illegio (Fr. Betania) 46 TOLMEZZO
2019/2020;8;No;6;;;No;Nido d'infanzia;I Sospiri del mio Cuore;H0XX796QEU36TC0O;CODROIPO;Vicolo dei Pini;Attivo;2;33033;Attivo;4.4 Codroipo;2|CODROIPO|Vicolo dei Pini;Vicolo dei Pini 2 CODROIPO
2019/2020;54;Si;52;0;5;Si;Nido d'infanzia;Nido d'infanzia Arcobaleno - Remanzacco;NECXF1TB4FTDZ38W;REMANZACCO;Via Manzanesia (fraz. Cerneglons);Attivo;2;33047;Attivo;4.3 Cividale;2|REMANZACCO|Via Manzanesia (fraz. Cerneglons);Via Manzanesia (fraz. Cerneglons) 2 REMANZACCO
2019/2020;25;No;23;;;No;Servizio integrativo;Punto incontro 0-3 anni;3C8HT8K1OA85MOCX;REMANZACCO;Via Matteotti 6 (c/o scuola dell'infanzia);Attivo;;33047;Attivo;4.3 Cividale;|REMANZACCO|Via Matteotti 6 (c/o scuola dell'infanzia);Via Matteotti 6 (c/o scuola dell'infanzia)  REMANZACCO
2019/2020;15;No;15;;;No;Nido d'infanzia;Marameo soc.coop.soc.onlus;56VSWP7O61ULSS5Y;CORDENONS;Via Calcherutti;Attivo;4;33084;Attivo;6.5 Pordenone;4|CORDENONS|Via Calcherutti;Via Calcherutti 4 CORDENONS
2019/2020;5;No;3;;;No;Servizio integrativo;Nido dei Gufi;36D2H0G9GSTAK20W;CORDENONS;via S. Giovanni;Attivo;35;33084;Attivo;6.5 Pordenone;35|CORDENONS|via S. Giovanni;via S. Giovanni 35 CORDENONS
2019/2020;8;No;9;;;No;Servizio integrativo;Le piccole menti;YQWB0W33QCFAHJL3;UDINE;Via Orsaria ;Attivo;16;33100;Attivo;4.5 Udine;16|UDINE|Via Orsaria ;Via Orsaria  16 UDINE
2019/2020;46;Si;39;5;6;Si;Nido d'infanzia;NIDO D'INFANZIA AZIENDALE DELL'ASS N. 5 FRIULI OCCIDENTALE ;98NYL1AD9O8C3UVS;PORDENONE;Vial Rotto;Attivo;1;33170;Attivo;6.5 Pordenone;1|PORDENONE|Vial Rotto;Vial Rotto 1 PORDENONE
2019/2020;41;No;40;;3;Si;Nido d'infanzia;Slovenski Dijaski DomSrecko KosovelCasa dello Studente Sloveno Srecko Kosovel;ZOKPST103Q6QBG1V;TRIESTE;Ginnastica;Attivo;72;34142;Attivo;1.2 Trieste;72|TRIESTE|Ginnastica;Ginnastica 72 TRIESTE
2019/2020;30;Si;30;22;;No;Nido d'infanzia;Guido Rossa;CHEOY57IWSRF83FC;STARANZANO;piazzale U.N.I.C.E.F.;Attivo;3;34079;Attivo;2.2 Basso Isontino;3|STARANZANO|piazzale U.N.I.C.E.F.;piazzale U.N.I.C.E.F. 3 STARANZANO
2019/2020;20;No;15;;;No;Nido d'infanzia;marco tedeschi;J3EFQX609W4JJPOY;TRIESTE;via del Monte 3;Attivo;3;34122;Attivo;1.2 Trieste;3|TRIESTE|via del Monte 3;via del Monte 3 3 TRIESTE
2019/2020;8;No;14;;;No;Servizio integrativo;Nido familiare Pezzettino;O4DHCCGKW35S30Q4;CIVIDALE DEL FRIULI;via della Chiesa;Attivo;52;33043;Attivo;4.3 Cividale;52|CIVIDALE DEL FRIULI|via della Chiesa;via della Chiesa 52 CIVIDALE DEL FRIULI
2019/2020;40;Si;34;11;6;Si;Nido d'infanzia;Asilo nido Comunale - Grado;8B1EYQFV83A830VL;GRADO;via dell'Operosità;Attivo;16;34073;Attivo;2.2 Basso Isontino;16|GRADO|via dell'Operosità;via dell'Operosità 16 GRADO
2019/2020;46;Si;45;13;2;Si;Nido d'infanzia;Il Girotondo;ZG5D6KRKLXP8IK2W;PORCIA;Via Papa Giovanni XXIII ;Attivo;13;33080;Attivo;6.5 Pordenone;13|PORCIA|Via Papa Giovanni XXIII ;Via Papa Giovanni XXIII  13 PORCIA
