CODICE_STRUTTURA;INDIRIZZO_FORMATTATO;LAT;LON
Y0ZAMLSVWCXTHES6;Via Giotto di Bondone, 44, 33079 Sesto al Reghena PN, Italy;45.849453;12.812849;
JBJ7CVE37750WBX2;Via Tagliamento, 24, 34074 Monfalcone GO, Italy;45.803303;13.522274;
ROQU8YQGRDDWIMW3;Via Giovanni Battista Comelli, 33030 Flambro UD, Italy;45.934265;13.091462;
2C1U53X3V3NOM000;Via Alessandro Manzoni, 33080 Prata di Pordenone PN, Italy;45.8885;12.584512;
3FKAL49TCZHLI3S3;Piazza Municipio, 11, 33050 Trivignano Udinese UD, Italy;45.946236;13.339655;
WMPL83QVI9EF99ZO;Località Dolina, 200, 34018 San Dorligo della Valle TS, Italy;45.604248;13.856351;
VAO3L94VLCW3Z5NL;Via Invalidi del Lavoro, 8, 33033 Codroipo UD, Italy;45.95699;12.981747;
NO3A62OCD2TQD57L;33100 Udine, Province of Udine, Italy;46.071068;13.234579;
LVI19NCRXQ048QMC;Via Ippolito Nievo, 2, 33081 Castello d'Aviano PN, Italy;46.072906;12.587618;
F2ETKODJITM4AM1Z;Via Dante Alighieri, 21, 33081 Castello d'Aviano PN, Italy;46.070114;12.58282;
9IFYYP52121SNKKY;Via del Ponzanino, 6a, 34137 Trieste TS, Italy;45.643948;13.781724;
U0O4OE0N0C3D85BO;Via Ciasaril, 13, 33070 San Giovanni PN, Italy;46.029167;12.518748;
DNS5UVVKI4ZMAH92;Via Leonardo Da Vinci, 33041 Aiello del Friuli UD, Italy;45.876537;13.342277;
1BYV2CLUUZZHIWDW;33050 Carlino, Province of Udine, Italy;45.802216;13.188164;
37S5LWCFOERH3EX6;Via G. Stuparich, 33100 Udine UD, Italy;46.0562;13.216082;
S0WPRWU79O2UXG3J;Via Armistizio, 11B, 34071 Cormons GO, Italy;45.960674;13.467183;
FC9TR0JBM0JAN4XV;Via del Crognolet, 21, 33043 Cividale del Friuli UD, Italy;46.0951;13.41734;
CZBHILXSSZVPQJIX;Via Forgaria, 10, 33078 Zona Industriale Ponte Rosso PN, Italy;45.944214;12.880384;
U8N94C7BYV045W9Z;33099 Vivaro, Province of Pordenone, Italy;46.078224;12.776906;
6AECIW1Y99SYOZ5C;Via de' Claricini, 15, 34076 Versa GO, Italy;45.898804;13.4211235;
0WMKGV1539HTI9RA;Via Armistizio, 11B, 34071 Cormons GO, Italy;45.960674;13.467183;
BLOKXRHWWEABBCCZ;Via Trieste, 3, 34072 Farra d'Isonzo GO, Italy;45.909267;13.518091;
X4V5D1FIA0X2HZCE;Via Oderzo, 22, 33100 Udine UD, Italy;46.028248;13.240207;
8PJA1LAKZQ41ETN0;Via Udine, 8, 33043 Cividale del Friuli UD, Italy;46.09194;13.422397;
GWMLR3QCHXQ70V25;Via Giuseppe Garibaldi, 8, 34072 Gradisca d'Isonzo GO, Italy;45.88989;13.497145;
751YES0TCK113S34;Via Venezia, 18, 33085 Maniago PN, Italy;46.151714;12.716578;
ALY3447NEJOBFWAP;Piazza E. Fermi, 10, 33080 Fiume Veneto PN, Italy;45.918556;12.758142;
WIINO4XKWXM275XX;Via Alessandro Stagni, 5, 34077 Ronchi dei Legionari GO, Italy;45.82449;13.506507;
N6V3A4OWB0Q3ULWL;Via S. Francesco D'Assisi, 15, 34133 Trieste TS, Italy;45.65306;13.779387;
T8O92BMDPFKUAI12;Via Cesare Battisti, 5, 34125 Trieste TS, Italy;45.65181;13.778807;
HUP9182VLM5LTO0Z;Via Daniele Manin, 33, 33053 Latisana UD, Italy;45.747665;13.018767;
VX6JYP4EXFRRXSYG;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
FCRI8LG14IY69I0T;Via Aurelio Mistruzzi, 19, 33100 Udine UD, Italy;46.05065;13.251279;
6D4FGRMYT88LXPYV;33100 Udine, Province of Udine, Italy;46.071068;13.234579;
SZDGTVIX9F3B3281;Via S. Valentino, 33100 Udine UD, Italy;46.067238;13.243227;
RZ8FOSVTSGHALE8Y;Via Eugenio Curiel, 2, 34148 Trieste TS, Italy;45.619328;13.825722;
Z280C6CO7TCVO4H8;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
