CODICE_STRUTTURA;INDIRIZZO_FORMATTATO;LAT;LON
H1O8IWOTCHUIE41S;33170 Pordenone, Province of Pordenone, Italy;45.956367;12.661452;
H7XNCEHKVKD3SVXJ;Via Pietro Valdoni, 5, 34149 Trieste TS, Italy;45.634613;13.829387;
U4VN2IK8HPHFNSTV;Via Illegio, 46, 33028 Tolmezzo UD, Italy;46.398502;13.034382;
P83F59XP7BLJS89G;Via S. Maurizio, 1, 33020 Nonta UD, Italy;46.398453;12.838245;
0AZV7PYMC14HVY2M;Viale Cristoforo Colombo, 60, 34170 Gorizia GO, Italy;45.949696;13.607653;
EXZNRZMIMB3KUMN9;Via Colloredo, 44, 33037 Pasian di Prato UD, Italy;46.050766;13.17835;
67MN8YQ163F3SK88;Via Runcis, 59, 33072 Casarsa della Delizia PN, Italy;45.940266;12.833514;
4KJUYTM0AN904EM1;Via Pordenone, 73, 33080 Pordenone PN, Italy;45.99887;12.644684;
4CTRR02Q9NZLAIF1;Via Generale Antonio Cantore, 33170 Pordenone PN, Italy;45.96859;12.678595;
RAM59JP63A4ZJGS2;Via G. Stuparich, 7a, 33100 Udine UD, Italy;46.056087;13.216248;
90LLXUP3Y3P3G7C2;Via Generale Antonio Cantore, 33170 Pordenone PN, Italy;45.96859;12.678595;
5QBA0ITQ4Z5EN30Y;Via delle Scuole, 7, 33100 Udine UD, Italy;46.083878;13.201816;
FO1QRSW8XBAFBRXJ;Udine, Viale Europa Unita, 33100 Udine UD, Italy;46.05601;13.241919;
GV62NIWG1IN4R9M1;Via Sabotino, 2, 33100 Udine UD, Italy;46.05798;13.2218;
PHW49H6LA24JOG9S;33100 Udine, Province of Udine, Italy;46.071068;13.234579;
PYMATEYRY4OW3L05;Via Paolo Sarpi, 5, 33100 Udine UD, Italy;46.06375;13.233185;
YA70A0N8LFNIB1IP;Via Pelliccerie, 4, 33100 Udine UD, Italy;46.063652;13.233606;
Q583TGAHUHUIV5ZD;Str. di S. Gottardo, 33043 Cividale del Friuli UD, Italy;46.098564;13.447582;
HV89TAVHDBT6YGQQ;Via S. Valentino, 23, 33100 Udine UD, Italy;46.06668;13.243524;
TOM4H64LBW107SUT;Via Cesare Cantù, 10, 34134 Trieste TS, Italy;45.66043;13.78654;
N9OR946LF9Z3A6TA;Via Giuseppe Garibaldi, 3, 33050 Terzo D'aquileia UD, Italy;45.798355;13.349153;
U3BRBFX78X1P1U4W;Via Giuseppe Garibaldi, 3, 33050 Terzo D'aquileia UD, Italy;45.798355;13.349153;
AZYCDZW36MVSKLQQ;Via Alessandro Pertini, 34070 Capriva del Friuli GO, Italy;45.93689;13.51793;
GWO3C6LLGOMIB6LE;Via Lucio Pisa, 9, 34148 Trieste TS, Italy;45.619625;13.826105;
327PEFDLIMU59QSI;;null;null;
3H7N2WMLI3MEV1QN;Via Edgardo Morpurgo, 7/2, 34147 Trieste TS, Italy;45.614223;13.825276;
WWZ4A0IY9LTXDZ8A;Via Edgardo Morpurgo, 7/2, 34147 Trieste TS, Italy;45.614223;13.825276;
O0WK0S85FP9TZ8S0;Via Cesare Cantù, 10, 34134 Trieste TS, Italy;45.66043;13.78654;
AU3I1S2C9C721Z65;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
SHMV6INZCTI0KT8V;33050 Percoto, Province of Udine, Italy;45.97506;13.320579;
GL2X45EPEWNMLHL2;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
K150DE1IP4S3M67O;Via Ovidio, 4, 34134 Trieste TS, Italy;45.66343;13.777539;
PTW83IV5RBYBVYZS;Via delle Monache, 3, 34121 Trieste TS, Italy;45.64774;13.770288;
M0DX37B62Q37021L;Via Pietro Valdoni, 5, 34149 Trieste TS, Italy;45.634613;13.829387;
CNZKNMSMYYNH5GO0;Via Pasquale Besenghi, 27, 34144 Trieste TS, Italy;45.643135;13.772578;
Q2YFDTFJTV2NJIZO;Via Bonomea, 265, 34151 Trieste TS, Italy;45.680397;13.773401;
KIDOEM6G4RLPOYIQ;Via S. Francesco D'Assisi, 15, 34133 Trieste TS, Italy;45.65306;13.779387;
559HOJJ1TVUHJPOR;Via delle Aiuole, 4, 34142 Trieste TS, Italy;45.645676;13.789724;
SVEHU1LF47OMKEE5;Via del Ponzanino, 6a, 34137 Trieste TS, Italy;45.643948;13.781724;
ADGD64MFQAZFF12C;Via dell'Istria, 61, 34144 Trieste TS, Italy;45.636585;13.78532;
TMT9ICKOZ1YAVSM9;UTI Giuliana, Italy;45.689484;13.783307;
6K3RSRIG22LS141F;Via del Collegio, 6, 34121 Trieste TS, Italy;45.648144;13.76934;
W4C6X8Y8SJBFTSEN;Frazione Villanova, 37, 33170 Pordenone PN, Italy;45.93623;12.682694;
BYO7O0MUVMQTQAQJ;Via Pisino, 33100 Udine UD, Italy;46.06839;13.251201;
XF7RFK0WYGH9109U;Via Nogaredo, Pasian di Prato UD, Italy;46.072746;13.184934;
2CTVEA3LFJ0B83I1;Via Roma, 46, 33037 Pasian di Prato UD, Italy;46.04927;13.190685;
DB0Q4MDJ2ST47KIQ;33030 Talmassons, Province of Udine, Italy;45.930542;13.119952;
3NEQ23SUP8WOGCUG;Via Maestra, 234, 33084 Tiepolo PN, Italy;45.98169;12.6793165;
C1T982ODA3A5SVTJ;Via Monte Cavallo, 3, 33170 Pordenone PN, Italy;45.946262;12.657231;
YHUATB09379P9QXO;Via Cesare Beccaria, 6, 34133 Trieste TS, Italy;45.654037;13.777373;
HW7NRTDJ9WW1X9EV;Via Vittorio Veneto, 18, 33050 Sevegliano UD, Italy;45.887012;13.29828;
SB5IEK110Q82TWC7;Via del Ghirlandaio, 22, 34138 Trieste TS, Italy;45.640728;13.7895565;
3BR8YJP0LVPW2FPY;Piazza Carlo Goldoni, 5, 34122 Trieste TS, Italy;45.64977;13.777664;
MB5XR3YW9VZO1S4V;Piazza Carlo Goldoni, 5, 34122 Trieste TS, Italy;45.64977;13.777664;
D3FH1SHQJ9DEVXPF;Via Basiliano, 41, 33100 Udine UD, Italy;46.04305;13.214192;
Z44LOKKFYI89Z007;33028 Tolmezzo, Province of Udine, Italy;46.403496;13.018212;
EPLGJ9TVU6ZCY5H4;Via Roma, 54B, 33080 Prata di Pordenone PN, Italy;45.894207;12.598703;
BTQA56DB0S8FA1KJ;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
R7RGLLPRMF90LR1I;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
9S9MKXEOD9LSCMN5;Via Martiri della Libertà, 9, 33017 Tarcento UD, Italy;46.22043;13.223713;
AD9G3XZEIFFA7ZPI;Via Fulvio Testi, 5, 34124 Trieste TS, Italy;45.64535;13.77134;
SMEEUI09XE2YUYWZ;Bibione, Metropolitan City of Venice, Italy;45.63613;13.061487;
0P9TQKDBVO02URXW;Via Spinotti, 2, 33028 Tolmezzo UD, Italy;46.40269;13.015966;
ORX7AU5N30D6WA1V;Via Ex Ferrovia, 15, 33025 Ovaro UD, Italy;46.484188;12.866006;
R16ZKUNS6U3QJU3F;;null;null;
HV42C22QCP40RHAX;Via Europa Unita, 33074 Fontanafredda PN, Italy;45.98435;12.569101;
D3ZZOS0S4WNWYDY4;Via Gorizia, 4, 34075 San Canzian d'Isonzo GO, Italy;45.79958;13.463691;
5NITXXR2SHPOMM91;Via Giuseppe Mazzini, 54, 33097 Spilimbergo PN, Italy;46.10886;12.899714;
